date,spy_close,vix_close,vix3m_close,hyg_close,lqd_close,tlt_close,hy_oas,t10y2y,nfci
2021-05-25,389.6252746582031,18.84000015258789,22.399999618530273,65.65847778320312,108.25364685058594,117.21627044677734,2.01,1.41,
2021-05-26,390.39849853515625,17.360000610351562,21.299999237060547,65.68109130859375,108.1962890625,117.01451110839844,1.98,1.44,
2021-05-27,390.60345458984375,16.739999771118164,20.309999465942383,65.65099334716797,107.86842346191406,116.54383087158203,1.98,1.47,
2021-05-28,391.3021545410156,16.760000228881836,20.479999542236328,65.6283950805664,107.95856475830078,116.35895538330078,1.99,1.44,-0.692
2021-06-01,390.9574279785156,17.899999618530273,21.34000015258789,65.82552337646484,107.97256469726562,116.3328628540039,1.97,1.46,
2021-06-02,391.572265625,17.479999542236328,21.420000076293945,65.90862274169922,108.14502716064453,116.60220336914062,1.98,1.46,
2021-06-03,390.1189880371094,18.040000915527344,21.81999969482422,65.77267456054688,107.71796417236328,116.16448211669922,1.96,1.47,
2021-06-04,393.68695068359375,16.420000076293945,20.6200008392334,65.91616821289062,108.48174285888672,117.75534057617188,1.98,1.42,-0.693
2021-06-07,393.3050231933594,16.420000076293945,20.549999237060547,65.9388427734375,108.39141845703125,117.39334869384766,1.98,1.41,
2021-06-08,393.3888854980469,17.06999969482422,20.850000381469727,65.98414611816406,108.8020248413086,118.21829986572266,1.98,1.39,
2021-06-09,392.8020324707031,17.889999389648438,21.280000686645508,66.03701782226562,109.19625854492188,119.26200103759766,1.96,1.34,
2021-06-10,394.6278076171875,16.100000381469727,20.079999923706055,66.15788269042969,109.68901062011719,119.97747039794922,2.0,1.31,
2021-06-11,395.2799377441406,15.649999618530273,19.639999389648438,66.18053436279297,109.77933502197266,119.78386688232422,1.97,1.31,-0.692
2021-06-14,396.1650695800781,16.389999389648438,20.139999389648438,66.12007904052734,109.37692260742188,118.86638641357422,1.96,1.35,
2021-06-15,395.4383850097656,17.020000457763672,20.68000030517578,66.112548828125,109.45906066894531,118.72332763671875,1.96,1.35,
2021-06-16,393.2304382324219,18.149999618530273,21.260000228881836,66.02191925048828,109.1469955444336,118.62227630615234,1.91,1.36,
2021-06-17,393.1000671386719,17.75,20.979999542236328,66.06721496582031,109.75471496582031,120.39827728271484,1.84,1.29,
2021-06-18,387.7969970703125,20.700000762939453,22.93000030517578,66.03701782226562,110.32959747314453,122.66246032714844,1.85,1.19,-0.689
2021-06-21,393.3486633300781,17.889999389648438,21.1200008392334,66.16544342041016,109.68901062011719,120.60871124267578,1.88,1.23,
2021-06-22,395.4515686035156,16.65999984741211,20.06999969482422,66.21072387695312,109.86969757080078,120.90332794189453,1.9,1.23,
2021-06-23,394.9749450683594,16.31999969482422,19.700000762939453,66.14277648925781,109.69722747802734,120.5919189453125,1.89,1.24,
2021-06-24,397.3114929199219,15.970000267028809,19.260000228881836,66.3467025756836,109.91079711914062,120.78549194335938,1.88,1.23,
2021-06-25,398.7227783203125,15.619999885559082,19.0,66.4146957397461,109.6233139038086,119.53137969970703,1.9,1.26,-0.685
2021-06-28,399.5266418457031,15.760000228881836,19.020000457763672,66.40713500976562,110.09142303466797,120.76026153564453,1.88,1.24,
2021-06-29,399.7416076660156,16.020000457763672,19.489999771118164,66.49018859863281,110.22281646728516,120.96222686767578,1.87,1.22,
2021-06-30,400.0780334472656,15.829999923706055,19.510000228881836,66.4977798461914,110.34603118896484,121.50096130371094,1.87,1.2,
2021-07-01,402.2930603027344,15.479999542236328,19.450000762939453,66.62810516357422,110.24978637695312,121.50762176513672,1.86,1.23,
2021-07-02,405.3680114746094,15.069999694824219,19.299999237060547,66.73418426513672,110.56243896484375,122.24093627929688,1.87,1.2,-0.68
2021-07-06,404.6297302246094,16.440000534057617,20.260000228881836,66.69634246826172,110.96564483642578,123.67365264892578,1.9,1.15,
2021-07-07,406.05963134765625,16.200000762939453,20.40999984741211,66.71907043457031,111.34413146972656,124.76934051513672,1.89,1.11,
2021-07-08,402.7510681152344,19.0,21.979999542236328,66.5750503540039,111.40172576904297,125.25816345214844,1.91,1.11,
2021-07-09,407.05035400390625,16.18000030517578,20.440000534057617,66.6887435913086,110.93269348144531,123.49669647216797,1.91,1.14,-0.673
2021-07-12,408.50836181640625,16.170000076293945,20.459999084472656,66.66600799560547,110.8751220703125,123.33658599853516,1.91,1.15,
2021-07-13,407.11578369140625,17.1200008392334,21.1299991607666,66.46895599365234,110.46369171142578,122.39265441894531,1.91,1.16,
2021-07-14,407.7232971191406,16.329999923706055,20.6200008392334,66.5750503540039,110.97383117675781,123.78324890136719,1.91,1.14,
2021-07-15,406.33074951171875,17.010000228881836,21.09000015258789,66.52957153320312,111.21250915527344,125.14866638183594,1.92,1.08,
2021-07-16,403.1436462402344,18.450000762939453,22.06999969482422,66.43863677978516,111.05612182617188,124.91265869140625,1.93,1.06,-0.666
2021-07-19,397.1900329589844,22.5,24.899999618530273,65.99153137207031,111.8542709350586,127.6517562866211,1.97,0.98,
2021-07-20,402.8818664550781,19.729999542236328,23.200000762939453,66.32495880126953,111.69792938232422,126.42119598388672,1.98,1.03,
2021-07-21,406.143798828125,17.90999984741211,21.8700008392334,66.484130859375,111.30298614501953,124.8199234008789,1.96,1.08,
2021-07-22,406.9942626953125,17.690000534057617,21.860000610351562,66.52200317382812,111.7637710571289,125.99980163574219,1.95,1.07,
2021-07-23,411.1814270019531,17.200000762939453,21.649999618530273,66.65084075927734,111.71439361572266,125.15702819824219,1.93,1.08,-0.66
2021-07-26,412.19091796875,17.579999923706055,21.739999771118164,66.55232238769531,111.46752166748047,124.78622436523438,1.94,1.07,
2021-07-27,410.3122253417969,19.360000610351562,23.0,66.46138763427734,111.94478607177734,126.11785888671875,1.95,1.05,
2021-07-28,410.1439208984375,18.309999465942383,22.350000381469727,66.51445007324219,112.14225006103516,126.12629699707031,1.96,1.06,
2021-07-29,411.8450622558594,17.700000762939453,21.8799991607666,66.65840911865234,111.82131958007812,125.42672729492188,1.94,1.08,
2021-07-30,409.84490966796875,18.239999771118164,22.18000030517578,66.56746673583984,111.91184997558594,126.0167007446289,1.95,1.05,-0.654
2021-08-02,408.985107421875,19.459999084472656,23.049999237060547,66.4024887084961,112.23582458496094,127.14073944091797,1.95,1.03,
2021-08-03,412.3123474121094,18.040000915527344,22.18000030517578,66.47853088378906,112.35121154785156,127.20816040039062,1.97,1.02,
2021-08-04,410.2842102050781,17.969999313354492,22.170000076293945,66.35688781738281,112.37594604492188,127.46978759765625,1.96,1.02,
2021-08-05,412.8824462890625,17.280000686645508,21.520000457763672,66.50894165039062,111.91435241699219,126.8200454711914,1.95,1.02,
2021-08-06,413.5647888183594,16.149999618530273,20.8700008392334,66.43291473388672,110.9993896484375,124.70201110839844,1.94,1.1,-0.649
2021-08-09,413.2283020019531,16.719999313354492,21.270000457763672,66.28084564208984,110.52131652832031,124.25479125976562,1.95,1.1,
2021-08-10,413.7423400878906,16.790000915527344,21.209999084472656,66.12882232666016,110.27400207519531,123.68099212646484,1.95,1.12,
2021-08-11,414.7704162597656,16.170000076293945,20.81999969482422,66.2352523803711,110.4471206665039,123.60501861572266,1.99,1.12,
2021-08-12,416.01348876953125,15.59000015258789,20.25,66.34931182861328,110.60368347167969,123.40252685546875,1.99,1.13,
2021-08-13,416.7705078125,15.449999809265137,20.260000228881836,66.49369812011719,111.34553527832031,125.3517837524414,1.98,1.06,-0.647
2021-08-16,417.751953125,16.1200008392334,20.639999389648438,66.51652526855469,111.41156768798828,125.65556335449219,1.97,1.05,
